End_of_Period,Loan_Number,Region,Country_Code,Country,Borrower,Guarantor_Country_Code,Guarantor,Loan_Type,Loan_Status,Interest_Rate,Project_ID,Project_Name,Original_Principal_Amount,Cancelled_Amount_,Undisbursed_Amount_,Disbursed_Amount_,Repaid_to_IBRD_,Due_to_IBRD_,Exchange_Adjustment_,Borrowers_Obligation_,Sold_Third_Party_,Repaid__Third_Party,Due__Third_Party_,Loans_Held_,First_Repayment_Date,Last_Repayment_Date,Agreement_Signing_Date,Board_Approval_Date,Effective_Date_(Most_Recent),Closed_Date_(Most_Recent),Last_Disbursement_Date
9/30/2025,IBRD95460,"LATIN AMERICA AND CARIBBEAN",CR,"Costa Rica","MINISTERIO DE HACIENDA",CR,"Costa Rica",FSL,Disbursing,0,P177029,"CR Fiscal and Decarbonization DPL III",500000000,0,0,500000000,0,500000000,0,500000000,0,0,0,500000000,11/15/2027,11/15/2042,5/16/2024,6/16/2023,8/28/2025,9/30/2025,9/3/2025
9/30/2025,IBRD96530,"LATIN AMERICA AND CARIBBEAN",CR,"Costa Rica","MINISTERIO DE HACIENDA",CR,"Costa Rica",FSL,Signed,0,P178049,"CR Pura Vida Resiliente",350000000,0,350000000,0,0,0,0,0,0,0,0,350000000,5/15/2030,5/15/2057,8/16/2024,3/8/2024,1/30/2026,4/30/2029,
9/30/2025,IBRD97450,"LATIN AMERICA AND CARIBBEAN",CR,"Costa Rica","MINISTERIO DE HACIENDA",CR,"Costa Rica",FSL,Signed,0,P181372,"Costa Rica Social Risk Mngement DPL DDO",200000000,0,200000000,0,0,0,0,0,0,0,0,200000000,3/15/2031,3/15/2058,4/3/2025,11/25/2024,4/30/2026,12/30/2027,
9/30/2025,IBRD97580,"LATIN AMERICA AND CARIBBEAN",CR,"Costa Rica","MINISTERIO DE HACIENDA",CR,"Costa Rica",FSL,Approved,0,P181174,"Costa Rica Results in Education (CORE)",200000000,0,200000000,0,0,0,0,0,0,0,0,200000000,3/15/2031,3/15/2058,,12/6/2024,,5/30/2031,
9/30/2025,IBRD98080,"LATIN AMERICA AND CARIBBEAN",CR,"Costa Rica","MINISTERIO DE HACIENDA",CR,"Costa Rica",FSL,Signed,0,P504033,"CR P4R AGF",120000000,0,135660525,0,0,0,0,0,0,0,0,135660525,5/15/2031,5/15/2058,7/29/2025,5/2/2025,1/25/2026,5/27/2031,
9/30/2025,IBRD98340,"LATIN AMERICA AND CARIBBEAN",CR,"Costa Rica","MINISTERIO DE HACIENDA",CR,"Costa Rica",FSL,Approved,0,P508347,"CRI FM GreenGro",300000000,0,310198655,0,0,0,0,0,0,0,0,310198655,10/15/2031,10/15/2058,,9/30/2025,1/30/2026,11/15/2026,
9/30/2025,IBRD81150,"WESTERN AND CENTRAL AFRICA",CV,"Cabo Verde","MINISTRY OF ECONOMY AND BUSINESS DEVELOP",CV,"Cabo Verde",FSL,Repaying,0,P115464,"CV-Recovery&Reform of Electricity Sector",53500000,56571,0,51633307.16,15196772,36436535.43,-5266343.73,31170191.7,0,0,0,36436535.43,5/1/2017,11/1/2041,2/3/2012,1/19/2012,5/23/2012,3/30/2018,9/10/2018
9/30/2025,IBRD89680,"WESTERN AND CENTRAL AFRICA",CV,"Cabo Verde","MINISTRY OF ECONOMY AND BUSINESS DEVELOP",CV,"Cabo Verde",FSL,"Fully Disbursed",0,P160628,"CV DPF with Cat DDO",5000000,0,0,5000000,0,5000000,0,5000000,0,0,0,5000000,4/15/2028,10/15/2040,6/6/2019,6/5/2019,9/4/2019,6/30/2022,4/30/2020
9/30/2025,IBRD92980,"WESTERN AND CENTRAL AFRICA",CV,"Cabo Verde","MINISTRY OF ECONOMY AND BUSINESS DEVELOP",CV,"Cabo Verde",FSL,Disbursing,0,P170236,REIUP,3500000,0,472917,3027083,0,3027083,0,3027083,0,0,0,3500000,4/15/2027,10/15/2046,1/17/2022,12/8/2021,3/15/2022,12/31/2026,4/17/2025
9/30/2025,IBRD03350,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"ELECTRICITY AUTHORITY OF CYPRU",CY,Cyprus,NPL,"Fully Repaid",6,P008337,POWER,21000000,5731588,0,15268411.9,13333412,0,-0.01,-0.01,1935000,1935000,0,0,3/15/1967,3/15/1983,4/17/1963,4/16/1963,8/9/1963,6/30/1967,
9/30/2025,IBRD04940,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"ELECTRICITY AUTHORITY OF CYPRU",CY,Cyprus,NPL,"Fully Repaid",6,P008338,POWER/DESALINATION,2800000,474902,0,2325097.67,1970098,0,0,0,355000,355000,0,0,9/15/1970,9/15/1982,5/16/1967,5/4/1967,7/11/1967,12/31/1970,
9/30/2025,IBRD06280,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,NPL,"Fully Repaid",7,P008339,PORTS,11500000,0,0,11500000,11500000,0,0.01,0.01,0,0,0,0,6/1/1974,6/1/1994,6/30/1969,6/24/1969,10/1/1969,12/31/1976,
9/30/2025,IBRD06490,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"ELECTRICITY AUTHORITY OF CYPRU",CY,Cyprus,NPL,"Fully Repaid",7,P008340,"POWER - MONI",5000000,0,0,5000000,5000000,0,0,0,0,0,0,0,7/15/1973,1/15/1990,12/24/1969,12/23/1969,3/31/1970,12/31/1973,
9/30/2025,IBRD07290,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"SEWERAGE BOARD OF NICOSIA",CY,Cyprus,NPL,"Fully Repaid",7,P008342,"NICOSIA SEWERAGE",3500000,800000,0,2700000,2700000,0,0,0,0,0,0,0,5/1/1975,11/1/1995,4/5/1971,3/23/1971,7/26/1971,9/30/1980,
9/30/2025,IBRD07300,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"SEWERAGE BOARD OF FAMAGUSTA",CY,Cyprus,NPL,"Fully Repaid",7,P008341,"FAMAGUSTA SEWERAGE SYS.",1900000,542487,0,1357513.19,1357513,0,0,0,0,0,0,0,5/1/1975,11/1/1995,4/5/1971,3/23/1971,7/26/1971,3/31/1981,
9/30/2025,IBRD08300,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"THE CYPRUS DEVELOPMENT BANK LI",CY,Cyprus,NPL,"Fully Repaid",7,P008343,"DFC-CDB I",3000000,96478,0,2903521.81,2903522,0,0,0,0,0,0,0,7/15/1975,7/15/1988,6/19/1972,6/13/1972,9/11/1972,6/30/1976,
9/30/2025,IBRD08310,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"ELECTRICITY AUTHORITY OF CYPRU",CY,Cyprus,NPL,"Fully Repaid",7,P008344,"POWER IV",9000000,0,0,9000000,9000000,0,0,0,0,0,0,0,12/1/1975,6/1/1992,6/19/1972,6/13/1972,9/7/1972,6/30/1977,
9/30/2025,IBRD09040,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,NPL,"Fully Repaid",7,P008345,HIGHWAYS,5400000,0,0,5400000,5400000,0,0,0,0,0,0,0,12/1/1976,6/1/1996,6/12/1973,5/22/1973,9/12/1973,6/30/1980,
9/30/2025,IBRD09600,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,NPL,"Fully Repaid",7,P008346,"IRRIGATION PAPHOS",11059436,0,0,11059436.11,11059436,0,-0.01,-0.01,0,0,0,0,6/1/1981,12/1/1995,1/30/1974,1/8/1974,10/10/1975,10/6/1981,
9/30/2025,IBRD09605,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Repaid",7,P008346,"IRRIGATION PAPHOS",2940564,0,0,2940563.89,2940564,0,0,0,0,0,0,0,6/1/1981,12/1/1995,9/1/1981,1/8/1974,10/6/1981,6/30/1982,
9/30/2025,IBRD12780,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"THE CYPRUS DEVELOPMENT BANK LI",CY,Cyprus,NPL,"Fully Repaid",9,P008347,"DFC-CDB II",6000000,0,0,6000000,6000000,0,0,0,0,0,0,0,7/1/1978,1/1/1992,6/3/1976,5/28/1976,10/1/1976,6/30/1981,
9/30/2025,IBRD13440,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,NPL,"Fully Repaid",9,P008348,"HIGHWAYS II",2743870,0,0,2743870.05,2743870,0,0,0,0,0,0,0,5/1/1980,11/1/1991,12/13/1976,11/30/1976,10/11/1977,10/6/1981,
9/30/2025,IBRD13445,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Repaid",9,P008348,"HIGHWAYS II",7256130,0,0,7256129.95,7256130,0,0,0,0,0,0,0,5/1/1980,11/1/1991,9/1/1981,11/30/1976,10/6/1981,4/30/1984,
9/30/2025,IBRD14830,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,NPL,"Fully Repaid",8,P008349,"INTEGRATED RURAL DEVT",3743412,0,0,3743412.03,3743412,0,0,0,0,0,0,0,2/15/1981,8/15/1992,8/18/1977,8/9/1977,11/7/1977,10/6/1981,
9/30/2025,IBRD14835,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Repaid",8,P008349,"INTEGRATED RURAL DEVT",6256588,0,0,6256587.97,6256588,0,0,0,0,0,0,0,2/15/1981,8/15/1992,9/1/1981,8/9/1977,10/6/1981,6/30/1984,
9/30/2025,IBRD15400,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"CYPRUS PORTS AUTHORITY",CY,Cyprus,NPL,"Fully Repaid",7,P008350,PORTS-LIMASSOL-LARNACA,8500000,0,0,8500000,8500000,0,0,0,0,0,0,0,12/1/1981,6/1/1993,4/12/1978,3/28/1978,8/11/1978,12/31/1984,
9/30/2025,IBRD16580,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,NPL,"Fully Cancelled",7,P008351,"AGRIC. IRRIG. II",0,0,0,0,0,0,0,0,0,0,0,0,8/15/1982,2/15/1994,2/12/1979,2/6/1979,7/16/1979,10/6/1981,
9/30/2025,IBRD16585,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Repaid",7,P008351,"AGRIC. IRRIG. II",11000000,1090000,0,9910000,9910000,0,0,0,0,0,0,0,8/15/1982,2/15/1994,9/1/1981,2/6/1979,10/6/1981,12/31/1986,
9/30/2025,IBRD17440,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"THE CYPRUS DEVELOPMENT BANK LI",CY,Cyprus,NPL,"Fully Repaid",8,P008352,"DFC-CDB III",5000000,54716,0,4945284.2,4945284,0,0,0,0,0,0,0,1/1/1983,7/1/1994,7/5/1979,6/28/1979,11/30/1979,6/30/1983,
9/30/2025,IBRD18730,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"ELECTRICITY AUTHORITY OF CYPRU",CY,Cyprus,NPL,"Fully Repaid",8,P008353,"POWER V",1510042,0,0,1510041.64,1510042,0,0,0,0,0,0,0,11/1/1983,5/1/1995,6/25/1980,6/12/1980,11/10/1980,10/20/1981,
9/30/2025,IBRD18735,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"ELECTRICITY AUTHORITY OF CYPRU",CY,Cyprus,CPL,"Fully Repaid",8,P008353,"POWER V",14489958,993062,0,13496896.19,13496896,0,0,0,0,0,0,0,11/1/1983,5/1/1995,9/21/1981,6/12/1980,10/20/1981,6/30/1984,
9/30/2025,IBRD19880,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Repaid",10,P008354,"FRUIT & VEG",14000000,11187005,0,2812994.93,2812995,0,0,0,0,0,0,0,11/1/1984,5/1/1996,5/15/1981,5/12/1981,8/26/1981,12/31/1988,10/2/1987
9/30/2025,IBRD21280,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Repaid",12,P008355,"ROADS III",12200000,1932792,0,10267207.53,10267208,0,0,0,0,0,0,0,11/15/1985,5/15/1997,6/8/1982,4/20/1982,9/15/1982,6/30/1989,12/1/1989
9/30/2025,IBRD22790,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Repaid",7,P008356,"KHRYSOKHOU IRRIGATION",16000000,41122,0,15958877.91,15958878,0,0,0,0,0,0,0,9/1/1986,3/1/1998,5/20/1983,5/12/1983,8/18/1983,12/31/1989,3/9/1990
9/30/2025,IBRD22860,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Repaid",7,P008357,"EGY.PLNG.& CONSV.",3600000,3292543,0,307456.73,307457,0,0,0,0,0,0,0,11/15/1986,5/15/1998,6/17/1983,5/19/1983,11/30/1983,12/31/1988,9/8/1988
9/30/2025,IBRD22870,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"ELECTRICITY AUTHORITY OF CYPRU",CY,Cyprus,CPL,"Fully Repaid",6,P008357,"EGY.PLNG.& CONSV.",6600000,2000000,0,4600000,4600000,0,0,0,0,0,0,0,9/1/1986,3/1/1998,6/17/1983,5/19/1983,11/30/1983,12/31/1988,12/14/1988
9/30/2025,IBRD23860,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Repaid",7,P008358,"SOUTH.CONVEYOR I",27000000,2500000,0,24500000,24500000,0,0,0,0,0,0,0,7/15/1987,1/15/1999,4/11/1984,3/6/1984,10/3/1984,12/31/1991,11/1/1991
9/30/2025,IBRD24110,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"SEWERAGE BOARD OF LIMASSOL-AMATHUS",CY,Cyprus,CPL,"Fully Cancelled",7,P008359,"LIMASSOL SEW.",16800000,16800000,0,0,0,0,0,0,0,0,0,0,11/15/1987,5/15/1999,5/31/1984,5/8/1984,9/19/1985,12/31/1991,
9/30/2025,IBRD25090,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Cancelled",7,P008360,"AGRIC. RESEARCH",7000000,7000000,0,0,0,0,0,0,0,0,0,0,12/15/1988,6/15/2000,4/18/1985,3/28/1985,3/18/1986,12/31/1991,
9/30/2025,IBRD26840,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Repaid",5,P008368,"HIGHWAYS IV",20000000,1479855,0,18520144.91,18520145,0,0,0,0,0,0,0,10/1/1989,4/1/2001,5/19/1986,4/29/1986,8/18/1986,3/31/1994,10/3/1994
9/30/2025,IBRD29060,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Repaid",5,P008371,TRANSPORT,35000000,5953780,0,29046220.38,29046220,0,0,0,0,0,0,0,10/15/1991,4/15/2003,5/6/1988,2/9/1988,1/5/1989,12/31/1995,3/21/1996
9/30/2025,IBRD29140,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Repaid",5,P008365,"SOUTHERN CONVEYOR II",30000000,2898508,0,27101491.57,27101492,0,0,0,0,0,0,0,11/15/1991,5/15/2003,5/6/1988,2/23/1988,8/17/1988,12/31/1996,3/31/1997
9/30/2025,IBRD32220,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"SEWERAGE BOARD OF LIMASSOL-AMATHUS",CY,Cyprus,CPL,"Fully Repaid",5,P008374,"LIMASSOL AMATHUS SEW",25000000,0,0,25000000,25000000,0,0,0,0,0,0,0,3/1/1996,9/1/2005,9/12/1990,6/7/1990,12/11/1990,6/30/1998,4/11/1996
9/30/2025,IBRD33200,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"MINISTRY OF FINANCE",CY,Cyprus,CPL,"Fully Repaid",6,P008373,"IND FIN RESTRUCT",30000000,22391814,0,7608186.08,7608186,0,0,0,0,0,0,0,1/15/1997,7/15/2006,6/20/1991,4/25/1991,2/21/1992,6/30/1999,8/6/1999
9/30/2025,IBRD33980,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"LARNACA SEWERAGE AND DRAINAGE BOARD",CY,Cyprus,CPL,"Fully Repaid",5,P008375,"SE COAST SEWERAGE & DRAINAGE",14700000,11950,0,14688050.18,14688050,0,0,0,0,0,0,0,5/1/1997,11/1/2006,11/7/1991,8/30/1991,5/1/1992,6/30/1999,6/24/1999
9/30/2025,IBRD33990,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"PARALIMNI SEWERAGE BOARD",CY,Cyprus,CPL,"Fully Repaid",7,P008375,"SE COAST SEWERAGE & DRAINAGE",11300000,5068936,0,6231064.47,6231064,0,0,0,0,0,0,0,5/1/1997,11/1/2006,11/7/1991,8/30/1991,7/28/1992,6/30/1999,11/15/1999
9/30/2025,IBRD34000,"EUROPE AND CENTRAL ASIA",CY,Cyprus,"AYIA NAPA SEWERAGE BOARD",CY,Cyprus,CPL,"Fully Repaid",7,P008375,"SE COAST SEWERAGE & DRAINAGE",6000000,2314719,0,3685280.7,3685281,0,0,0,0,0,0,0,5/1/1997,11/1/2006,11/7/1991,8/30/1991,7/28/1992,6/30/1999,12/20/1999
9/30/2025,IBRD33740,"EUROPE AND CENTRAL ASIA",CZ,Czechia,"FEDERAL MINISTRY OF FINANCE",CZ,Czechia,CPL,"Fully Repaid",4,P008386,"SAL I",300000000,0,0,300000000,300000000,0,0,0,0,0,0,0,3/15/1997,9/15/2006,7/31/1991,6/26/1991,8/15/1991,6/30/1993,7/13/1993
9/30/2025,IBRD34740,"EUROPE AND CENTRAL ASIA",CZ,Czechia,"CEZ A.S.",CZ,Czechia,CPL,"Fully Repaid",6,P008381,"PWR & ENV IMPRVMT",24600000,0,0,24600000,24600000,0,0,0,0,0,0,0,8/15/1997,2/15/2007,7/17/1992,5/26/1992,11/20/1992,6/30/1999,4/29/1998
9/30/2025,IBRD3474A,"EUROPE AND CENTRAL ASIA",CZ,Czechia,"CEZ A.S.",CZ,Czechia,SCL,"Fully Repaid",4,P008381,"PWR & ENV IMPRVMT",76839026,43357456,0,33510372.82,33416145,0,0,0,0,0,0,0,8/15/1998,2/15/2007,7/17/1992,5/26/1992,11/20/1992,6/30/1999,10/1/1999
9/30/2025,IBRD3474S,"EUROPE AND CENTRAL ASIA",CZ,Czechia,"CEZ A.S.",CZ,Czechia,SCPM,"Fully Repaid",4,P008381,"PWR & ENV IMPRVMT",144560974,1265310,0,143295663.4,143295663,0,0,0,0,0,0,0,8/15/1998,2/15/2007,7/17/1992,5/26/1992,11/20/1992,6/30/1999,9/8/1998
9/30/2025,IBRD36440,"EUROPE AND CENTRAL ASIA",CZ,Czechia,"CESKY TELECOM, A.S.",CZ,Czechia,CPL,"Fully Repaid",7,P008378,TELECOMMS,80000000,69719780,0,10280220.42,10280220,0,0,0,0,0,0,0,2/15/1999,8/15/2008,11/1/1993,9/9/1993,1/14/1994,6/30/1998,3/12/1996
9/30/2025,IBRD00030,"EUROPE AND CENTRAL ASIA",DK,Denmark,,,,NPL,"Fully Repaid",4,P037362,RECONSTRUCTION,40000000,0,0,40000000,17771000,0,0,0,22229000,22229000,0,0,2/1/1953,8/1/1972,8/22/1947,8/22/1947,10/17/1947,3/31/1949,
9/30/2025,IBRD02180,"EUROPE AND CENTRAL ASIA",DK,Denmark,"MINISTRY OF FINANCE",,,NPL,"Fully Repaid",6,P037363,POWER,20000000,0,0,20000000,10941327,0,0,0,9058673,9058673,0,0,8/1/1962,8/1/1978,2/4/1959,2/3/1959,2/11/1959,4/30/1964,
9/30/2025,IBRD03490,"EUROPE AND CENTRAL ASIA",DK,Denmark,"MINISTRY OF FINANCE",,,NPL,"Fully Repaid",6,P037364,POWER,25000000,0,0,25000000,15999840,0,0,0,9000160,9000160,0,0,2/1/1967,8/1/1983,7/24/1963,7/23/1963,10/7/1963,12/31/1966,
9/30/2025,IBRD38790,"LATIN AMERICA AND CARIBBEAN",DM,Dominica,"MINISTRY OF FINANCE",DM,Dominica,CPL,"Fully Transferred",7,P006970,"OECS WASTE MGMNT (SIM)",0,0,0,0,0,0,0,0,0,0,0,0,1/1/2001,7/1/2012,5/11/1995,5/4/1995,11/11/1996,2/28/2002,
9/30/2025,IBRD3879A,"LATIN AMERICA AND CARIBBEAN",DM,Dominica,"MINISTRY OF FINANCE",DM,Dominica,SCL,"Fully Cancelled",0,P006970,"OECS WASTE MGMNT (SIM)",600000,600000,0,0,0,0,0,0,0,0,0,0,1/15/2001,7/15/2012,5/11/1995,5/4/1995,11/11/1996,2/28/2002,
9/30/2025,IBRD39690,"LATIN AMERICA AND CARIBBEAN",DM,Dominica,"MINISTRY OF FINANCE",DM,Dominica,SCL,"Fully Repaid",0,P006969,"DM-  BASIC EDUCATION REF",3070000,216092,0,2853907.77,2853908,0,0,0,0,0,0,0,8/15/1999,2/15/2011,3/14/1996,12/21/1995,10/28/1996,12/31/2001,5/2/2002
9/30/2025,IBRD43340,"LATIN AMERICA AND CARIBBEAN",DM,Dominica,"MINISTRY OF FINANCE",DM,Dominica,SCL,"Fully Repaid",0,P035730,"OECS: Telecom Reform",600000,55002,0,544997.62,544998,0,0,0,0,0,0,0,12/15/2001,12/15/2013,6/8/1998,6/4/1998,10/8/1998,12/31/2004,12/30/2004
9/30/2025,IBRD44170,"LATIN AMERICA AND CARIBBEAN",DM,Dominica,"MINISTRY OF FINANCE",DM,Dominica,SCL,"Fully Repaid",0,P069633,"Dominica Disaster Management",2530000,1444681,0,1085318.51,1085319,0,0,0,0,0,0,0,9/15/2002,3/15/2014,12/11/1998,12/10/1998,6/9/1999,12/31/2002,5/13/2003
9/30/2025,IBRD70990,"LATIN AMERICA AND CARIBBEAN",DM,Dominica,"MINISTRY OF FINANCE",DM,Dominica,FSL,"Fully Repaid",0,P077680,"Emergency Recovery Project",960000,448180,0,511819.7,511820,0,0,0,0,0,0,0,5/15/2007,5/15/2016,4/19/2002,3/7/2002,7/11/2002,6/30/2005,11/29/2005
9/30/2025,IBRD06460,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","FALCONBRIDGE DOMINICANA, C. PO",DO,"Dominican Republic",NPL,"Fully Repaid",7,P006977,INDUSTRY-FALCONBRIDG,25000000,0,0,25000000,25000000,0,0,0,0,0,0,0,12/15/1973,12/15/1984,12/10/1969,12/9/1969,2/26/1970,9/30/1973,
9/30/2025,IBRD10510,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","BANCO CENTRAL DE LA REPUBLICA DOMINICANA",DO,"Dominican Republic",NPL,"Fully Repaid",8,P006982,"PUERTO PLATA TOURISM",21000000,84255,0,20915744.97,20915745,0,0,0,0,0,0,0,2/1/1985,8/1/2004,11/6/1974,10/29/1974,11/7/1975,12/31/1982,
9/30/2025,IBRD11420,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","SECRETARIA DE ESTADO DE EDUCACION",DO,"Dominican Republic",NPL,"Fully Repaid",9,P006981,"EDUCATION II",8000000,0,0,8000000,8000000,0,0,0,0,0,0,0,10/1/1985,4/1/2005,7/17/1975,4/29/1975,10/8/1975,6/30/1983,
9/30/2025,IBRD13160,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","SECRETARIA DE ESTADO DE OBRAS PUBLICAS",DO,"Dominican Republic",NPL,"Fully Repaid",9,P006984,"ROADS I",5000000,0,0,5000000,5000000,0,0,0,0,0,0,0,1/15/1983,1/15/2001,8/10/1976,7/15/1976,2/8/1977,6/30/1980,
9/30/2025,IBRD13250,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","SECRETARIO, SEC ESTADO SALUD PUBL",DO,"Dominican Republic",NPL,"Fully Repaid",9,P006983,"FAMILY WELFARE",5000000,130502,0,4869498.04,4869498,0,0,0,0,0,0,0,1/15/1983,1/15/2001,9/16/1976,9/14/1976,5/17/1977,12/31/1981,
9/30/2025,IBRD16550,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","Instituto Nacional DeRecursos Hidraulico",DO,"Dominican Republic",NPL,"Fully Repaid",7,P006985,"NIZAO IRRIG PROJ.",27000000,0,0,27000000,27000000,0,0,0,0,0,0,0,8/1/1983,2/1/1996,2/16/1979,1/23/1979,1/16/1980,12/31/1987,8/4/1988
9/30/2025,IBRD16990,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","BANCO CENTRAL DE LA REPUBLICA DOMINICANA",DO,"Dominican Republic",NPL,"Fully Repaid",8,P006986,"TOURISM II",25000000,3544400,0,21455599.63,21455600,0,0,0,0,0,0,0,1/15/1984,7/15/1996,11/12/1979,5/17/1979,9/9/1980,12/31/1987,10/17/1988
9/30/2025,IBRD17600,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","CONSEJO ESTATAL DEL AZUCAR",DO,"Dominican Republic",NPL,"Fully Cancelled",8,P006987,"SUGAR REHABILITATION",0,0,0,0,0,0,0,0,0,0,0,0,1/1/1984,7/1/1996,10/26/1979,9/18/1979,6/15/1982,6/15/1982,
9/30/2025,IBRD17605,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","CONSEJO ESTATAL DEL AZUCAR",DO,"Dominican Republic",CPL,"Fully Repaid",8,P006987,"SUGAR REHABILITATION",35000000,1649065,0,33350935.35,33350935,0,0,0,0,0,0,0,1/1/1986,7/1/1998,10/30/1981,9/18/1979,6/15/1982,6/30/1991,12/31/1991
9/30/2025,IBRD17820,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","BANCO CENTRAL DE LA REPUBLICA DOMINICAN",DO,"Dominican Republic",NPL,"Fully Repaid",8,P006988,"RECONST'N LOAN/IMPOR",25000000,0,0,25000000,25000000,0,0,0,0,0,0,0,9/1/1984,3/1/1997,1/8/1980,12/18/1979,8/20/1980,12/31/1980,
9/30/2025,IBRD17830,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","SECRETARIA DE ESTADO DE OBRAS PUBLICAS",DO,"Dominican Republic",NPL,"Fully Repaid",8,P006990,"RECONSTRUCTION LOAN-",25000000,0,0,25000000,25000000,0,0,0,0,0,0,0,9/1/1984,3/1/1997,1/8/1980,12/18/1979,9/19/1980,6/30/1983,
9/30/2025,IBRD17840,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","SECRETARIA DE ESTADO DE OBRAS PUBLICAS",DO,"Dominican Republic",NPL,"Fully Repaid",8,P006989,"ROADS II",35000000,0,0,35000000,35000000,0,0,0,0,0,0,0,9/1/1984,3/1/1997,1/8/1980,12/18/1979,9/9/1980,6/30/1985,
9/30/2025,IBRD20230,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","SEC. DE ESTADO AGRICULTURA",DO,"Dominican Republic",CPL,"Fully Repaid",10,P006991,"COFFEE & COCOA REHAB",24000000,423382,0,23576617.55,23576618,0,0,0,0,0,0,0,2/15/1986,8/15/1998,9/24/1981,6/23/1981,9/1/1982,6/30/1989,3/14/1990
9/30/2025,IBRD21040,"LATIN AMERICA AND CARIBBEAN",DO,"Dominican Republic","Ministerio de Economia, Planificacion y",DO,"Dominican Republic",CPL,"Fully Repaid",12,P006992,"SITES & SERVICES I",25400000,22149788,0,3250212.2,3250212,0,0,0,0,0,0,0,11/1/1986,5/1/1999,4/14/1982,3/23/1982,10/22/1982,6/30/1987,2/13/1991
